id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
22	paralyze-heal	解麻药	Paralyze Heal	Status cures	200	Cures paralysis.	喷雾式药水。 能治愈１只宝可梦的 麻痹状态。
23	full-restore	全复药	Full Restore	Healing	3000	Restores HP to full and cures any status ailment and confusion.	能回复１只宝可梦的 所有ＨＰ并治愈所有异常状态。
24	max-potion	全满药	Max Potion	Healing	2500	Restores HP to full.	喷雾式伤药。 能让１只宝可梦 回复所有ＨＰ。
25	hyper-potion	厉害伤药	Hyper Potion	Healing	1500	Restores 200 HP.	喷雾式伤药。 能让１只宝可梦 回复１２０ＨＰ。
26	super-potion	好伤药	Super Potion	Healing	700	Restores 50 HP.	喷雾式伤药。 能让１只宝可梦 回复６０ＨＰ。
27	full-heal	万灵药	Full Heal	Status cures	400	Cures any status ailment and confusion.	喷雾式药水。 能治愈１只宝可梦的 所有异常状态。
28	revive	活力碎片	Revive	Revival	2000	Revives with half HP.	能让１只陷入濒死的 宝可梦重获生机， 并回复一半ＨＰ。
29	max-revive	活力块	Max Revive	Revival	4000	Revives with full HP.	能让１只陷入濒死的 宝可梦重获生机， 并回复所有ＨＰ。
30	fresh-water	美味之水	Fresh Water	Healing	200	Restores 50 HP.	富含矿物质的水。 能让１只宝可梦 回复３０ＨＰ。
31	soda-pop	劲爽汽水	Soda Pop	Healing	300	Restores 60 HP.	翻腾着气泡的汽水。 能让１只宝可梦 回复５０ＨＰ。
32	lemonade	果汁牛奶	Lemonade	Healing	400	Restores 80 HP.	非常香甜的牛奶。 能让１只宝可梦 回复７０ＨＰ。
33	moomoo-milk	哞哞鲜奶	Moomoo Milk	Healing	600	Restores 100 HP.	营养百分百的牛奶。 能让１只宝可梦 回复１００ＨＰ。
34	energy-powder	元气粉	Energy Powder	Healing	500	Restores 50 HP, but lowers happiness.	非常苦的药粉。 能让１只宝可梦 回复６０ＨＰ。
35	energy-root	元气根	Energy Root	Healing	1200	Restores 200 HP, but lowers happiness.	非常苦的根。 能让１只宝可梦 回复１２０ＨＰ。
36	heal-powder	万能粉	Heal Powder	Status cures	300	Cures any status ailment, but lowers happiness.	非常苦的药粉。 能治愈１只宝可梦的 所有异常状态。
37	revival-herb	复活草	Revival Herb	Revival	2800	Revives with full HP, but lowers happiness.	非常苦的药草。 能让１只濒死的宝可梦 回复所有ＨＰ。
38	ether	ＰＰ单项小补剂	Ether	PP recovery	1200	Restores 10 PP for one move.	能让宝可梦学会的 其中１个招式 回复１０ＰＰ。
39	max-ether	ＰＰ单项全补剂	Max Ether	PP recovery	2000	Restores PP to full for one move.	能让宝可梦学会的 其中１个招式 回复所有ＰＰ。
40	elixir	ＰＰ多项小补剂	Elixir	PP recovery	3000	Restores 10 PP for each move.	能让宝可梦学会的 ４个招式各 回复１０ＰＰ。
41	max-elixir	ＰＰ多项全补剂	Max Elixir	PP recovery	4500	Restores PP to full for each move.	能让宝可梦学会的 ４个招式 回复所有ＰＰ。
42	lava-cookie	釜炎仙贝	Lava Cookie	Status cures	350	Cures any status ailment and confusion.	釜炎特产的仙贝。 能治愈１只宝可梦的 所有异常状态。
43	berry-juice	树果汁	Berry Juice	Healing	200	Restores 20 HP.	１００％树果果汁。 能让１只宝可梦 回复２０ＨＰ。
44	sacred-ash	圣灰	Sacred Ash	Revival	50000	Revives all fainted Pokémon with full HP.	能让陷入濒死的 全部宝可梦 回复所有ＨＰ。
45	hp-up	ＨＰ增强剂	HP Up	Vitamins	10000	Raises HP effort and happiness.	宝可梦的营养饮料。 能提高１只宝可梦的 ＨＰ的基础点数。
46	protein	攻击增强剂	Protein	Vitamins	10000	Raises Attack effort and happiness.	宝可梦的营养饮料。 能提高１只宝可梦的 攻击的基础点数。
47	iron	防御增强剂	Iron	Vitamins	10000	Raises Defense effort and happiness.	宝可梦的营养饮料。 能提高１只宝可梦的 防御的基础点数。
48	carbos	速度增强剂	Carbos	Vitamins	10000	Raises Speed effort and happiness.	宝可梦的营养饮料。 能提高１只宝可梦的 速度的基础点数。
49	calcium	特攻增强剂	Calcium	Vitamins	10000	Raises Special Attack effort and happiness.	宝可梦的营养饮料。 能提高１只宝可梦的 特攻的基础点数。
50	rare-candy	神奇糖果	Rare Candy	Vitamins	10000	Causes a level-up and raises happiness.	充满能量的糖果。 将它交给宝可梦后， １只宝可梦的等级仅会提高１。
51	pp-up	ＰＰ提升剂	PP Up	Vitamins	10000	Raises a move’s max PP by 20%.	能让宝可梦学会的 其中１个招式的 ＰＰ最大值少量提高。
52	zinc	特防增强剂	Zinc	Vitamins	10000	Raises Special Defense and happiness.	宝可梦的营养饮料。 能提高１只宝可梦的 特防的基础点数。
53	pp-max	ＰＰ极限提升剂	PP Max	Vitamins	10000	Raises a move’s max PP by 60%.	能将宝可梦学会的 其中１个招式的 ＰＰ最大值提至最高。
54	old-gateau	森之羊羹	Old Gateau	Status cures	350	Cures any status ailment and confusion.	百代不为人知的特产。 能治愈１只宝可梦的 所有异常状态。
55	guard-spec	能力防守	Guard Spec.	Stat boosts	1500	Prevents stat changes in battle for five turns in battle. Raises happiness.	在战斗中， ５回合内不让我方 能力降低的道具。
56	dire-hit	要害攻击	Dire Hit	Stat boosts	1000	Increases the chance of a critical hit in battle. Raises happiness.	击中要害的几率会大幅提高。 只能使用１次。 离场后，效果便会消失。
57	x-attack	力量强化	X Attack	Stat boosts	1000	Raises Attack by one stage in battle. Raises happiness.	大幅提高战斗中 宝可梦攻击的道具。 离场后，效果便会消失。
58	x-defense	防御强化	X Defense	Stat boosts	2000	Raises Defense by one stage in battle. Raises happiness.	大幅提高战斗中 宝可梦防御的道具。 离场后，效果便会消失。
59	x-speed	速度强化	X Speed	Stat boosts	1000	Raises Speed by one stage in battle. Raises happiness.	大幅提高战斗中 宝可梦速度的道具。 离场后，效果便会消失。
60	x-accuracy	命中强化	X Accuracy	Stat boosts	1000	Raises accuracy by one stage in battle. Raises happiness.	大幅提高战斗中 宝可梦命中的道具。 离场后，效果便会消失。
61	x-sp-atk	特攻强化	X Sp. Atk	Stat boosts	1000	Raises Special Attack by one stage in battle. Raises happiness.	大幅提高战斗中 宝可梦特攻的道具。 离场后，效果便会消失。
62	x-sp-def	特防强化	X Sp. Def	Stat boosts	2000	Raises Special Defense by one stage in battle. Raises happiness.	大幅提高战斗中 宝可梦特防的道具。 离场后，效果便会消失。
63	poke-doll	皮皮玩偶	Poké Doll	Spelunking	300	Ends a wild battle.	能吸引宝可梦注意的道具。 在和野生宝可梦的 战斗中绝对可以逃走。
64	fluffy-tail	向尾喵的尾巴	Fluffy Tail	Spelunking	100	Ends a wild battle.	能吸引宝可梦注意的道具。 在和野生宝可梦的 战斗中绝对可以逃走。
65	blue-flute	蓝色玻璃哨	Blue Flute	Flutes	20	Cures sleep.	以蓝色玻璃制成的哨子。 可以治愈睡眠状态。
66	yellow-flute	黄色玻璃哨	Yellow Flute	Flutes	20	Cures confusion.	以黄色玻璃制成的哨子。 可以治愈混乱状态。
67	red-flute	红色玻璃哨	Red Flute	Flutes	20	Cures attraction.	以红色玻璃制成的哨子。 可以治愈着迷状态。
68	black-flute	黑色玻璃哨	Black Flute	Spelunking	20	Halves the wild Pokémon encounter rate.	以黑色玻璃制成的哨子。 在使用的地方更容易 遇到强大的宝可梦。
69	white-flute	白色玻璃哨	White Flute	Spelunking	20	Doubles the wild Pokémon encounter rate.	以白色玻璃制成的哨子。 在使用的地方更容易 遇到弱小的宝可梦。
70	shoal-salt	浅滩海盐	Shoal Salt	Collectibles	20	No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.	在浅滩洞穴这地方 找到的海盐。
71	shoal-shell	浅滩贝壳	Shoal Shell	Collectibles	20	No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.	在浅滩洞穴这地方 找到的贝壳。
72	red-shard	红色碎片	Red Shard	Collectibles	1000	No effect. Can be traded for items or moves.	红色的小碎片。 好像是以前制作的 某道具的一部分。
73	blue-shard	蓝色碎片	Blue Shard	Collectibles	1000	No effect. Can be traded for items or moves.	蓝色的小碎片。 好像是以前制作的 某道具的一部分。
74	yellow-shard	黄色碎片	Yellow Shard	Collectibles	1000	No effect. Can be traded for items or moves.	黄色的小碎片。 好像是以前制作的 某道具的一部分。
75	green-shard	绿色碎片	Green Shard	Collectibles	1000	No effect. Can be traded for items or moves.	绿色的小碎片。 好像是以前制作的 某道具的一部分。
76	super-repel	白银喷雾	Super Repel	Spelunking	700	For 200 steps, prevents wild encounters of level lower than your party’s lead Pokémon.	弱小的野生宝可梦 将完全不会出现。 效果比除虫喷雾更持久。
77	max-repel	黄金喷雾	Max Repel	Spelunking	900	For 250 steps, prevents wild encounters of level lower than your party’s lead Pokémon.	弱小的野生宝可梦 将完全不会出现。 效果比白银喷雾更持久。
78	escape-rope	离洞绳	Escape Rope	Spelunking	300	Transports user to the outside entrance of a cave.	结实的长绳。 可以从洞窟或迷宫中脱身。 能够反复使用。
79	repel	除虫喷雾	Repel	Spelunking	400	For 100 steps, prevents wild encounters of level lower than your party’s lead Pokémon.	使用后，在较短的一段时间内， 弱小的野生宝可梦将完全不会出现。
80	sun-stone	日之石	Sun Stone	Evolution	3000	Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora.	能让某些特定宝可梦 进化的神奇石头。 像太阳一样赤红。
81	moon-stone	月之石	Moon Stone	Evolution	3000	Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.	能让某些特定宝可梦 进化的神奇石头。 像夜空一样乌黑。
82	fire-stone	火之石	Fire Stone	Evolution	3000	Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.	能让某些特定宝可梦 进化的神奇石头。 看上去是橙黄色的。
83	thunder-stone	雷之石	Thunder Stone	Evolution	3000	Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu.	能让某些特定宝可梦 进化的神奇石头。 有着闪电般的花纹。
84	water-stone	水之石	Water Stone	Evolution	3000	Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie.	能让某些特定宝可梦 进化的神奇石头。 看上去是澄蓝色的。
85	leaf-stone	叶之石	Leaf Stone	Evolution	3000	Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.	能让某些特定宝可梦 进化的神奇石头。 有着叶子般的花纹。
86	tiny-mushroom	小蘑菇	Tiny Mushroom	Loot	500	Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars.	珍稀的小蘑菇。 在一些爱好者中 有着相当高的人气。
87	big-mushroom	大蘑菇	Big Mushroom	Loot	5000	Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.	珍稀的大蘑菇。 在一些爱好者中 有着非常高的人气。
88	pearl	珍珠	Pearl	Loot	2000	Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars.	散发着美丽银辉 且有点小的珍珠。 可以在商店低价出售。
89	big-pearl	大珍珠	Big Pearl	Loot	8000	Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.	散发着美丽银辉 且相当大颗的珍珠。 可以在商店高价出售。
90	stardust	星星沙子	Stardust	Loot	3000	Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars.	手感细腻且十分 美丽的红色沙子。 可以在商店低价出售。
91	star-piece	星星碎片	Star Piece	Loot	12000	Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars.	闪着红光且十分 美丽的宝石碎片。 可以在商店高价出售。
92	nugget	金珠	Nugget	Loot	10000	Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars.	闪着金光， 以纯金制成的珠子。 可以在商店高价出售。
93	heart-scale	心之鳞片	Heart Scale	Collectibles	100	No effect. Can be traded for prior Level-up moves.	有着美丽心形外形 且非常珍稀的鳞片。 有些人收到会很高兴。
94	honey	甜甜蜜	Honey	Dex completion	900		宝可梦采集的清甜芬芳的花蜜。 可在商店里廉价出售。
95	growth-mulch	速速肥	Growth Mulch	Mulch	200	Growing time of berries is reduced, but the soil dries out faster.	培育树果时的肥料。 但完全不适合丰缘地区的土壤， 所以没什么效果。
96	damp-mulch	湿湿肥	Damp Mulch	Mulch	200	Growing time of berries is increased, but the soil dries out slower.	培育树果时的肥料。 但完全不适合丰缘地区的土壤， 所以没什么效果。
97	stable-mulch	久久肥	Stable Mulch	Mulch	200	Berries stay on the plant for longer than their usual time.	培育树果时的肥料。 但完全不适合丰缘地区的土壤， 所以没什么效果。
98	gooey-mulch	粘粘肥	Gooey Mulch	Mulch	200	Berries regrow from dead plants an increased number of times.	培育树果时的肥料。 但完全不适合丰缘地区的土壤， 所以没什么效果。
99	root-fossil	根状化石	Root Fossil	Dex completion	7000	Can be revived into a Lileep.	很久以前栖息在海里的 古代宝可梦的化石。 好像是根的一部分。
100	claw-fossil	爪子化石	Claw Fossil	Dex completion	7000	Can be revived into an Anorith.	很久以前栖息在海里的 古代宝可梦的化石。 好像是爪子的一部分。
101	helix-fossil	贝壳化石	Helix Fossil	Dex completion	7000	Can be revived into an Omanyte.	很久以前栖息在海里的 古代宝可梦的化石。 好像是贝壳的一部分。
102	dome-fossil	甲壳化石	Dome Fossil	Dex completion	7000	Can be revived into a Kabuto.	很久以前栖息在海里的 古代宝可梦的化石。 好像是甲壳的一部分。
103	old-amber	秘密琥珀	Old Amber	Dex completion	10000	Can be revived into an Aerodactyl.	封存着古代宝可梦 遗传基因的琥珀， 透着点红色。
104	armor-fossil	盾甲化石	Armor Fossil	Dex completion	7000	Can be revived into a Shieldon.	很久以前生活在地上的 古代宝可梦的化石。 好像是领饰的一部分。
105	skull-fossil	头盖化石	Skull Fossil	Dex completion	7000	Can be revived into a Cranidos.	很久以前生活在地上的 古代宝可梦的化石。 好像是头部的一部分。
106	rare-bone	贵重骨头	Rare Bone	Loot	5000	Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars.	在宝可梦考古学上 非常贵重的骨头。 可以在商店高价出售。
107	shiny-stone	光之石	Shiny Stone	Evolution	3000	Evolves a Minccino into Cinccino, a Roselia into Roserade, or a Togetic into Togekiss.	能让某些特定宝可梦 进化的神奇石头。 像光芒一样耀眼。
108	dusk-stone	暗之石	Dusk Stone	Evolution	3000	Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow.	能让某些特定宝可梦 进化的神奇石头。 像黑夜一般漆黑。
109	dawn-stone	觉醒之石	Dawn Stone	Evolution	3000	Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.	能让某些特定宝可梦 进化的神奇石头。 像眼眸一般光彩动人。
110	oval-stone	浑圆之石	Oval Stone	Evolution	2000	Level-up during Day on a Happiny: Holder evolves into Chansey.	能让某些特定宝可梦 进化的神奇石头。 像珠子一般圆润。
111	odd-keystone	楔石	Odd Keystone	Dex completion	2100	Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.	没有它，石之塔就会 崩塌的重要石头。 有时能从石头里听到声音。
112	adamant-orb	金刚宝珠	Adamant Orb	Species-specific	0	Boosts the damage from Dialga’s Dragon-type and Steel-type moves by 20%.	让帝牙卢卡携带的话， 龙和钢属性的招式威力就会提高。 散发着光辉的宝珠。
113	lustrous-orb	白玉宝珠	Lustrous Orb	Species-specific	0	Boosts the damage from Palkia’s Dragon-type and Water-type moves by 20%.	让帕路奇亚携带的话， 龙和水属性的招式威力就会提高。 散发着美丽光辉的宝珠。
114	grass-mail	grass-mail	Grass Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
115	flame-mail	flame-mail	Flame Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
116	bubble-mail	bubble-mail	Bubble Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
117	bloom-mail	bloom-mail	Bloom Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
118	tunnel-mail	tunnel-mail	Tunnel Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
119	steel-mail	steel-mail	Steel Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
120	heart-mail	heart-mail	Heart Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
121	snow-mail	snow-mail	Snow Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
122	space-mail	space-mail	Space Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
123	air-mail	air-mail	Air Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
124	mosaic-mail	mosaic-mail	Mosaic Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
125	brick-mail	brick-mail	Brick Mail	All mail	50	Lets a Trainer write a message and send it via Pokémon trade.	
126	cheri-berry	樱子果	Cheri Berry	Medicine	80	Held: Consumed when paralyzed to cure paralysis.	让宝可梦携带后， 可以治愈麻痹。
127	chesto-berry	零余果	Chesto Berry	Medicine	80	Held: Consumed when asleep to cure sleep.	让宝可梦携带后， 可以治愈睡眠。
128	pecha-berry	桃桃果	Pecha Berry	Medicine	80	Held: Consumed when poisoned to cure poison.	让宝可梦携带后， 可以治愈中毒。
129	rawst-berry	莓莓果	Rawst Berry	Medicine	80	Held: Consumed when burned to cure a burn.	让宝可梦携带后， 可以治愈灼伤。
130	aspear-berry	利木果	Aspear Berry	Medicine	80	Held: Consumed when frozen to cure frozen.	让宝可梦携带后， 可以治愈冰冻。
131	leppa-berry	苹野果	Leppa Berry	Medicine	80	Held: Consumed when a move runs out of PP to restore its PP by 10.	让宝可梦携带后， 可以回复１０ＰＰ。
132	oran-berry	橙橙果	Oran Berry	Medicine	80	Held: Consumed at 1/2 max HP to recover 10 HP.	让宝可梦携带后， 可以回复１０ＨＰ。
133	persim-berry	柿仔果	Persim Berry	Medicine	80	Held: Consumed when confused to cure confusion.	让宝可梦携带后， 可以治愈混乱。
134	lum-berry	木子果	Lum Berry	Medicine	80	Held: Consumed to cure any status condition or confusion.	让宝可梦携带后， 可以治愈所有异常状态。
135	sitrus-berry	文柚果	Sitrus Berry	Medicine	80	Held: Consumed at 1/2 max HP to recover 1/4 max HP.	让宝可梦携带后， 可以回复少量ＨＰ。
136	figy-berry	勿花果	Figy Berry	Picky healing	80	Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.	让宝可梦携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
137	wiki-berry	异奇果	Wiki Berry	Picky healing	80	Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.	让宝可梦携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
138	mago-berry	芒芒果	Mago Berry	Picky healing	80	Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.	让宝可梦携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
139	aguav-berry	乐芭果	Aguav Berry	Picky healing	80	Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.	让宝可梦携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
140	iapapa-berry	芭亚果	Iapapa Berry	Picky healing	80	Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.	让宝可梦携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
141	razz-berry	蔓莓果	Razz Berry	Baking only	200	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨帅气。 红色的果实尝起来是辣的。
142	bluk-berry	墨莓果	Bluk Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨美丽。 蓝色的果实尝起来是涩的。
143	nanab-berry	蕉香果	Nanab Berry	Baking only	200	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨可爱。 粉红色的果实尝起来是甜的。
144	wepear-berry	西梨果	Wepear Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨聪明。 绿色的果实尝起来是苦的。
145	pinap-berry	凰梨果	Pinap Berry	Baking only	200	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨强壮。 黄色的果实尝起来是酸的。
146	pomeg-berry	榴石果	Pomeg Berry	Effort drop	80	Drops HP Effort Values by 10 and raises happiness.	如果把它交给宝可梦， 宝可梦就会变得非常容易和训练家亲密， 但ＨＰ的基础点数会降低。
147	kelpsy-berry	藻根果	Kelpsy Berry	Effort drop	80	Drops Attack Effort Values by 10 and raises happiness.	如果把它交给宝可梦， 宝可梦就会变得非常容易和训练家亲密， 但攻击的基础点数会降低。
148	qualot-berry	比巴果	Qualot Berry	Effort drop	80	Drops Defense Effort Values by 10 and raises happiness.	如果把它交给宝可梦， 宝可梦就会变得非常容易和训练家亲密， 但防御的基础点数会降低。
149	hondew-berry	哈密果	Hondew Berry	Effort drop	80	Drops Special Attack Effort Values by 10 and raises happiness.	如果把它交给宝可梦， 宝可梦就会变得非常容易和训练家亲密， 但特攻的基础点数会降低。
150	grepa-berry	萄葡果	Grepa Berry	Effort drop	80	Drops Special Defense Effort Values by 10 and raises happiness.	如果把它交给宝可梦， 宝可梦就会变得非常容易和训练家亲密， 但特防的基础点数会降低。
151	tamato-berry	茄番果	Tamato Berry	Effort drop	80	Drops Speed Effort Values by 10 and raises happiness.	如果把它交给宝可梦， 宝可梦就会变得非常容易和训练家亲密， 但速度的基础点数会降低。
152	cornn-berry	玉黍果	Cornn Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨美丽。 在其他地区很少见的树果。
153	magost-berry	岳竹果	Magost Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨可爱。 在其他地区很少见的树果。
154	rabuta-berry	茸丹果	Rabuta Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨聪明。 在其他地区很少见的树果。
155	nomel-berry	檬柠果	Nomel Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨强壮。 在其他地区很少见的树果。
156	spelon-berry	刺角果	Spelon Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨可爱。 在其他地区很少见的树果。
157	pamtre-berry	椰木果	Pamtre Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨美丽。 在其他地区很少见的树果。
158	watmel-berry	瓜西果	Watmel Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨聪明。 在其他地区很少见的树果。
159	durin-berry	金枕果	Durin Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨聪明。 在其他地区很少见的树果。
160	belue-berry	靛莓果	Belue Berry	Baking only	20	Used for creating PokéBlocks and Poffins.	用于制作宝可方块， 制作出来的宝可方块可用来打磨美丽。 在其他地区很少见的树果。
161	occa-berry	巧可果	Occa Berry	Type protection	80	Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的火属性招式 攻击时，能令其威力减弱。
162	passho-berry	千香果	Passho Berry	Type protection	80	Held: Consumed when struck by a super-effective Water-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的水属性招式 攻击时，能令其威力减弱。
